CNT,Drugs,ndrugs,rnk
60845,DB01194,1,348
60631,DB00180,1,349
59765,DB06209,1,350
59452,DB08815,1,351
58016,DB00492,1,352
57303,DB01128,1,353
57261,DB01197,1,354
57213,DB00808,1,355
56826,DB04854,1,356
56724,DB00781,1,357
56572,DB00658,1,358
56305,DB01085,1,359
56135,DB00806,1,360
55354,DB01095,1,361
54616,DB09034,1,362
54520,DB06207,1,363
54347,DB00191,1,364
54158,DB00440,1,365
53819,DB00176,1,366
52742,DB00956,1,367
52154,DB01179,1,368
51747,DB06702,1,369
51527,DB08860,1,370
51177,DB00751,1,371
51030,DB00223,1,372
49793,DB01101,1,373
48800,DB00938,1,374
47514,DB01182,1,375
47254,DB01192,1,376
46250,DB00846,1,377
46244,DB01183,1,378
45948,DB01009,1,379
45095,DB00388,1,380
44976,DB01045,1,381
44823,DB00968,1,382
44634,DB00951,1,383
43631,DB06292,1,384
43431,DB00601,1,385
43277,DB00608,1,386
43010,DB00912,1,387
42640,DB00248,1,388
42517,DB06766,1,389
40445,DB00367,1,390
39661,DB04855,1,391
39206,DB00952,1,392
38129,DB08934,1,393
37052,DB00748,1,394
36557,DB00772,1,395
36495,DB00998,1,396
36198,DB00007,1,397
35580,DB00990,1,398
35537,DB00861,1,399
35462,DB00585,1,400
35385,DB06151,1,401
35027,DB00662,1,402
34700,DB00209,1,403
34668,DB00731,1,404
34276,DB01174,1,405
33714,DB00838,1,406
33367,DB01019,1,407
32811,DB06285,1,408
32777,DB01005,1,409
32196,DB00455,1,410
32036,DB05259,1,411
31827,DB00353,1,412
31773,DB04896,1,413
31635,DB00979,1,414
31602,DB01033,1,415
31594,DB00712,1,416
31360,DB09020,1,417
30897,DB00477,1,418
30760,DB09026,1,419
30697,DB00350,1,420
30542,DB00918,1,421
29872,DB00432,1,422
29646,DB00470,1,423
28653,DB00401,1,424
28277,DB06218,1,425
27808,DB11315,1,426
27786,DB01014,1,427
27614,DB00871,1,428
27268,DB00165,1,429
26916,DB01109,1,430
26847,DB00659,1,431
26724,DB01151,1,432
26709,DB01256,1,433
26683,DB00431,1,434
26312,DB00822,1,435
26201,DB01155,1,436
26181,DB01012,1,437
25891,DB00545,1,438
25254,DB00507,1,439
25246,DB00284,1,440
25145,DB01267,1,441
25123,DB09040,1,442
24997,DB01075,1,443
24983,DB00549,1,444
24790,DB00674,1,445
24731,DB00811,1,446
24562,DB01091,1,447
24546,DB00550,1,448
23977,DB04890,1,449
23921,DB09341,1,450
23605,DB00920,1,451
23500,DB01130,1,452
23464,DB01200,1,453
23403,DB01149,1,454
23332,DB00647,1,455
23219,DB05679,1,456
22879,DB01399,1,457
22457,DB01110,1,458
21907,DB00518,1,459
21821,DB05676,1,460
21370,DB00690,1,461
21161,DB00994,1,462
21027,DB00519,1,463
20606,DB00700,1,464
20583,DB00478,1,465
20393,DB00480,1,466
20220,DB01153,1,467
20169,DB01066,1,468
20050,DB01242,1,469
19577,DB00204,1,470
19159,DB01367,1,471
19008,DB00828,1,472
18803,DB00650,1,473
18284,DB00842,1,474
18279,DB00558,1,475
18189,DB01656,1,476
18098,DB00303,1,477
17857,DB00503,1,478
17648,DB00770,1,479
17565,DB00376,1,480
17131,DB01004,1,481
16784,DB00569,1,482
16629,DB01032,1,483
16379,DB00185,1,484
16282,DB00673,1,485
15882,DB00318,1,486
15268,DB08895,1,487
15227,DB01210,1,488
15057,DB03843,1,489
14947,DB01193,1,490
14902,DB00195,1,491
14324,DB00459,1,492
14261,DB00270,1,493
14103,DB00611,1,494
13874,DB00853,1,495
13779,DB00910,1,496
13645,DB04938,1,497
13466,DB01610,1,498
13441,DB00889,1,499
13298,DB00850,1,500
13258,DB00906,1,501
13076,DB00594,1,502
13070,DB06786,1,503
12782,DB00320,1,504
12780,DB00975,1,505
12683,DB00573,1,506
12207,DB06216,1,507
12078,DB00582,1,508
12042,DB08897,1,509
11939,DB01413,1,510
11708,DB01024,1,511
11455,DB00494,1,512
11354,DB00530,1,513
11280,DB00790,1,514
10994,DB00319,1,515
10903,DB00703,1,516
10715,DB00716,1,517
10634,DB00363,1,518
10502,DB00619,1,519
10469,DB00756,1,520
10269,DB05271,1,521
10197,DB00623,1,522
10196,DB08823,1,523
10135,DB01148,1,524
9829,DB06820,1,525
9750,DB01327,1,526
9725,DB01117,1,527
9515,DB00960,1,528
9448,DB00877,1,529
9364,DB05812,1,530
9023,DB00379,1,531
8986,DB08867,1,532
8944,DB00531,1,533
8915,DB06637,1,534
8871,DB11181,1,535
8844,DB00442,1,536
8818,DB00583,1,537
8620,DB06779,1,538
8537,DB01215,1,539
8416,DB06237,1,540
8380,DB06203,1,541
8378,DB06817,1,542
8333,DB00265,1,543
8297,DB00760,1,544
8143,DB00709,1,545
7930,DB00288,1,546
7474,DB08930,1,547
7336,DB08819,1,548
7217,DB01025,1,549
7214,DB00625,1,550
7092,DB11130,1,551
6990,DB00330,1,552
6812,DB00593,1,553
6683,DB08874,1,554
6528,DB00399,1,555
6483,DB01072,1,556
6294,DB01590,1,557
6172,DB00513,1,558
6117,DB06401,1,559
5948,DB00237,1,560
5933,DB00349,1,561
5757,DB01264,1,562
5540,DB06410,1,563
5488,DB00261,1,564
5428,DB00283,1,565
5418,DB00398,1,566
5399,DB00344,1,567
5365,DB01083,1,568
5094,DB00122,1,569
5077,DB04871,1,570
5061,DB01041,1,571
5017,DB01623,1,572
4963,DB00208,1,573
4896,DB00740,1,574
4870,DB00964,1,575
4752,DB00831,1,576
4715,DB06800,1,577
4702,DB00050,1,578
4699,DB00151,1,579
4674,DB00238,1,580
4605,DB00816,1,581
4588,DB01268,1,582
4482,DB00408,1,583
4451,DB00500,1,584
4407,DB00371,1,585
4394,DB00885,1,586
4343,DB01406,1,587
4292,DB00679,1,588
4259,DB00618,1,589
4198,DB00384,1,590
4168,DB06711,1,591
4074,DB00876,1,592
4073,DB00280,1,593
4035,DB00969,1,594
4016,DB00896,1,595
3998,DB00683,1,596
3992,DB01059,1,597
3941,DB00621,1,598
3802,DB00521,1,599
3670,DB00104,1,600
3628,DB01219,1,601
3607,DB01105,1,602
3601,DB09526,1,603
3563,DB01254,1,604
3561,DB08910,1,605
3515,DB00744,1,606
3481,DB00499,1,607
3442,DB01263,1,608
3429,DB00438,1,609
3418,DB06403,1,610
